name,Category,energy_kcal,weight_g,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,energy_per_100g,protein_per_100g,fat_per_100g,sodium_per_100g,nutrition_desnity
Superior Bihun Jagung Urai,Olahan/Brand,250,6,0,61,0,0,30,6,11.63,0,18.77,0,2,4166.67,0,0,500,0.024
Monde Boromon Cookies,Olahan/Brand,0,1,0,18,0,5,10,1,3.72,0,5.54,0,0.67,0,0,0,1000,
Buavita Orange,Olahan/Brand,120,0.5,0,28,0,23,0,0.5,5.58,0,8.62,0,0,24000,0,0,0,0.0042
Agar-Agar Double Swallow Sun,Olahan/Brand,25,6,0,6,0,0,10,6,1.16,0,1.85,0,0.67,416.67,0,0,166.67,0.24
Agar-Agar Swallow Globe Brand,Olahan/Brand,20,8,0,8,0,0,0,8,0.93,0,2.46,0,0,250,0,0,0,0.4
Hydro Coco,Olahan/Brand,60,7,0,18,0,10,0,7,2.79,0,5.54,0,0,857.14,0,0,0,0.1167
Buavita Royale Sunshine Carrot,Olahan/Brand,120,2,0,28,0,25,0,2,5.58,0,8.62,0,0,6000,0,0,0,0.0167
Gula Putih / Gula Pasir,Olahan/Brand,394,0.6,0,94,0,0,1,0,18.33,0,28.92,0,0.07,65666.67,0,0,166.67,0
Sirup,Olahan/Brand,213,1,0,55,0,0,3,0,9.91,0,16.92,0,0.2,21300,0,0,300,0
Nutrijell Balanced Color Delima,Olahan/Brand,0,1,0,3,0,1,15,1,0.47,0,0.92,0,1,0,0,0,1500,
Tepung Bumbu Kobe Bumbu Kalasan,Olahan/Brand,70,1,0,15,0,3,0,1,3.26,0,4.62,0,0,7000,0,0,0,0.0143
Es Teh Manis,Traditional,90,0.02,0.02,23.44,0,0,0,0,4.19,0.03,7.21,0,0,450000,100,0,0,0.0002
Es Teh Tawar,Traditional,2,0.02,0.02,0.67,0,0,0,0,0.09,0.03,0.21,0,0,10000,100,0,0,0.01
Wine,Olahan/Brand,83,0.07,0.07,2.72,0,0,0,0,3.86,0.12,0.84,0,0,118571.43,100,0,0,0.0008
Mie Bendo,Traditional,353,0.2,0.3,88,0,0,9,2.4,16.42,0.5,27.08,0,0.6,176500,150,0,4500,0.0076
Maizena Tepung,Olahan/Brand,341,0.7,0.3,85,0,0,6,7,15.86,0.5,26.15,0,0.4,48714.29,42.86,0,857.14,0.0214
Salak,Traditional,77,0.7,0.4,20.9,0,0,0,0,3.58,0.67,6.43,0,0,11000,57.14,0,0,0.0052
Vodka,Traditional,43,0.46,0.46,3.55,0,0,0,0,2,0.77,1.09,0,0,9347.83,100,0,0,0.0107
Erbis Segar,Traditional,70,0.5,0.6,18.9,0,0,21,7.7,3.26,1,5.82,0,1.4,14000,120,0,4200,0.1186
Kopi Seduh,Traditional,5,0.74,0.74,0.42,0,0,0,0,0.23,1.23,0.13,0,0,675.68,100,0,0,0.148
Sedaap Kecap Manis,Olahan/Brand,70,1,1,16,0,13,290,0,3.26,1.67,4.92,0,19.33,7000,100,0,29000,0.0143
Starbucks Caffe Americano,Olahan/Brand,15,1,1,3,0,0,0,0,0.7,1.67,0.92,0,0,1500,100,0,0,0.0667
Abc Kecap Asin,Olahan/Brand,5,1,1,1,0,0,830,0,0.23,1.67,0.31,0,55.33,500,100,0,83000,0.2
Sasa Tepung Bakso Goreng,Olahan/Brand,90,1,1,21,0,0,910,0,4.19,1.67,6.46,0,60.67,9000,100,0,91000,0.0111
Krupuk Bocah Tua (Mentah),Traditional,340,1,1,84,0,0,1570,0,15.81,1.67,25.85,0,104.67,34000,100,0,157000,0.0029
Maggi Magic Lezat Bumbu Penyedap,Olahan/Brand,5,1,1,1,0,0,970,0,0.23,1.67,0.31,0,64.67,500,100,0,97000,0.2
Yakult,Olahan/Brand,50,1,1,11,0,10,0,0,2.33,1.67,3.38,0,0,5000,100,0,0,0.02
Cerebrofort Marine Gummy Strawberry,Olahan/Brand,0,1,1,8,0,6,10,0,1.63,1.67,2.46,0,0.67,0,100,0,1000,
Yupi Gummy Pizza,Olahan/Brand,0,1,1,12,0,8,0,0,2.33,1.67,3.69,0,0,0,100,0,0,
Tepung Bumbu Kobe Pisang Goreng,Olahan/Brand,70,2,1,16,0,2,0,2,3.26,1.67,4.92,0,0,3500,50,0,0,0.0429
Yupi Bolicious Very Strawberry,Olahan/Brand,50,1,1,12,0,0,5,0,2.33,1.67,3.69,0,0.33,5000,100,0,500,0.02
Yupi Fruit Bites,Olahan/Brand,0,1,1,12,0,6,0,0,2.33,1.67,3.69,0,0,0,100,0,0,
Yummy Bites Banana Flavor,Olahan/Brand,190,2,2,44,0,4,130,0,8.84,3.33,13.54,0,8.67,9500,100,0,6500,0.0105
Abc Sari Kacang Hijau,Olahan/Brand,160,2,2,36,0,0,0,0,7.44,3.33,11.08,0,0,8000,100,0,0,0.0125
Ultra Sari Kacang Ijo,Olahan/Brand,90,2,2,22,0,0,0,0,4.19,3.33,6.77,0,0,4500,100,0,0,0.0222
